Feature_1;Feature_2;Feature_3;Feature_4;Feature_5;Feature_6;Feature_7;Feature_8;Feature_9;Feature_10;Feature_11;Feature_12;Feature_13;Feature_14;Feature_15;Feature_16;Feature_17;Feature_18;Feature_19;Feature_20;Feature_21;Feature_22;Feature_23;Feature_24;Feature_25;Feature_26;Feature_27;Feature_28;Feature_29;Feature_30;Feature_31;Feature_32;Output
F;A;A;D;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;243;28;32;11;13;0;0;0;0;0;
F;A;A;D;A;B;B;A;;2003;85;50;12;3;30;224;191;333;90;;243;2010;0;0;1084;0;500;1;1;114;1;94;1524
F;A;A;D;A;B;B;A;;2006;;0;0;;;0;;;148;0;-11;2007;0;;141;;141;1;1;8;1;12;394
B;A;A;B;;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;6;1;12;
F;A;A;B;;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;7;1;13;
F;A;A;B;;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;3;1;6;
A;A;A;C;;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;262;;131;0;0;0;0;0;
C;A;A;C;;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;28;;9;0;0;0;0;0;
F;A;A;C;;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;2811;;216;0;0;0;0;0;
F;A;A;C;;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;706;;40;0;0;0;0;0;
F;A;A;C;;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;432;;43;0;0;0;0;0;
F;A;A;C;;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;906;;220;0;0;0;0;0;
F;A;A;C;;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;652;;72;0;0;0;0;0;
F;A;A;C;;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;113;;25;0;0;0;0;0;
F;A;A;C;;B;B;A;;1982;;0;0;;;0;0;0;0;0;0;;0;;0;;0;1;1;5;1;10;
F;A;A;C;;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;371;;29;0;0;0;0;0;
F;A;A;C;;B;B;A;;;;0;0;;;;0;0;0;0;;;;;0;;;0;0;0;0;0;
C;A;A;D;A;A;C;A;;;;0;0;;;0;;;;0;;;0;47;66;7;10;1;1;3;1;5;
A;A;A;D;A;A;C;A;;;;0;0;;;;;;;0;;;;;39;;16;0;0;0;0;0;
A;A;A;D;A;A;C;A;;;;0;0;;;0;0;;;0;0;;0;;;;;1;1;1;1;1;
A;A;A;D;A;A;C;A;;;;0;0;;;0;0;;;0;0;;0;;86;;34;1;1;3;1;3;
A;A;A;D;A;A;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;105;;66;1;0;0;0;0;
A;A;A;D;A;A;C;A;;;;0;0;;30;0;0;306;822;0;84;2013;0;82;69;51;43;0;0;0;0;0;1095
A;A;A;D;A;A;C;A;;;;0;0;;;0;0;;;0;0;;0;;0;;0;1;1;1;1;1;
A;A;A;D;A;A;C;A;;;;0;0;;;0;0;0;0;0;;;0;103;16;65;10;0;0;0;0;0;
A;A;A;D;A;A;C;A;;;;0;0;;;0;0;0;0;0;;;0;18;18;11;11;0;0;0;0;0;
A;A;A;D;A;A;C;A;;;;0;0;;;0;0;0;0;0;;;0;22;16;14;10;0;0;0;0;0;
A;A;A;D;A;A;C;A;2017;;;0;0;;;;0;;;0;;;0;0;20;0;20;0;0;0;0;0;
B;A;A;D;A;A;C;A;;;;1;0;;;0;0;0;0;0;;;0;37;47;9;12;1;1;1;1;1;
C;A;A;D;A;A;C;A;;;;0;0;;;0;;;;0;0;;0;;;;;1;1;1;1;1;
E;A;A;D;A;A;C;A;;;;0;0;;;0;0;0;0;0;;;;;9;;2;0;0;0;0;0;
E;A;A;A;A;A;C;A;;;;0;0;;;0;0;0;0;0;;;;;0;;0;0;0;0;0;0;
E;A;A;B;;A;C;A;;;;0;0;;;0;0;;;0;;;;;86;;8;1;0;0;0;0;
B;A;A;C;;A;C;A;;;;0;0;;;;0;;;0;0;;0;;446;;134;1;1;1;1;2;
D;A;A;B;A;E;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;6;1;6;
E;A;A;A;A;G;C;A;;;;0;106;;;0;0;;;0;;;;;1000;;100;1;0;0;0;0;
E;A;A;A;A;G;C;A;;;;0;0;;;0;0;;;0;;;;;230;;23;0;0;0;0;0;
E;A;A;A;A;G;C;A;;;;0;0;;;0;0;;;0;;;;;817;;82;1;0;0;0;0;
E;A;A;A;A;G;C;A;;;;0;0;;;0;0;0;0;0;;;;;466;;70;0;0;0;0;0;
B;A;A;C;A;G;C;A;;;450;0;0;;;0;;0;0;0;0;;0;;391;;117;0;0;0;0;0;
E;A;A;C;A;G;C;A;;;;0;0;;;;0;;;0;0;;0;;534;;53;0;0;0;0;0;
E;A;A;D;A;G;C;A;;;;0;0;;;0;0;;;0;;;;;13;;1;1;0;0;0;0;
B;A;A;C;A;G;C;A;;;364;118;275;;;268;;289;289;;20;2009;0;9037;9747;4519;4874;1;1;28;1;33;2086
B;A;A;C;A;G;C;A;;;;0;0;;;;;;;0;;;;;0;;0;1;1;4;1;7;
E;A;A;A;A;G;C;A;;;;0;0;;;218;0;151;274;0;212;2011;0;581;452;142;111;1;1;4;1;4;1127
E;A;A;A;A;G;C;A;;;;0;0;;;0;0;0;;0;29;2003;0;4237;4674;1038;1145;1;1;54;1;56;1319
A;A;A;B;A;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;3;1;5;
E;A;A;A;A;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;1;1;1;
E;A;A;D;A;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;19;1;27;
E;A;A;A;A;G;C;A;;2007;164;32;46;7;25;132;369;1266;1266;1617;84;2014;72;1846;1768;697;667;1;1;54;1;3;1509
E;A;A;A;A;G;C;A;;;128;20;18;;;0;0;0;0;0;0;;0;;281;;46;1;1;3;1;5;
A;A;A;C;A;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;4238;;424;0;0;0;0;0;
E;A;A;C;A;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;7008;;140;0;0;0;0;0;
B;A;A;A;A;G;C;A;;;2369;147;240;;;0;0;0;0;0;0;;;2949;;894;;1;1;12;1;13;
B;A;A;C;A;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;336;;50;0;0;0;0;0;
B;A;A;C;A;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;21;;9;0;0;0;0;0;
B;A;A;C;A;G;C;A;;1999;;0;0;;;0;0;0;0;0;0;;0;;0;;0;0;0;0;0;0;
E;A;A;C;A;G;C;A;;;;0;136;;;;;;;0;;;;;0;;0;1;1;21;1;30;
E;A;A;C;A;G;C;A;;;535;168;42;13;;;0;489;-553;0;1042;2010;0;;1600;;300;1;1;4;1;8;1496
E;A;A;A;A;G;C;A;;;;0;0;;;0;0;;;0;;;;;1260;;50;0;0;0;0;0;
E;A;A;C;A;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;1148;;276;0;0;0;0;0;
A;A;A;B;A;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;6;1;10;
A;A;A;C;A;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;33;;3;0;0;0;0;0;
A;A;A;C;A;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;181;;18;0;0;0;0;0;
A;A;A;C;A;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;37;;4;0;0;0;0;0;
D;A;A;B;A;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;4;1;6;
F;A;A;A;A;G;C;A;;;313;65;22;8;25;;151;244;749;;-293;2013;0;1590;1245;779;610;1;1;21;1;27;518
A;A;A;D;A;G;C;A;;1987;24;45;0;5;19;0;0;827;260;0;419;2012;0;60;103;8;14;0;0;0;0;0;1015
E;A;A;A;A;G;C;A;;;;0;0;;;0;0;0;0;0;;;;;1418;;57;0;0;0;0;0;
